,smiles,alpha
36373,N#CCC1NC1C1CO1,73.45
36374,N#CCC1OC1C1CC1,77.94
36375,N#CCC1OC1C1CN1,72.83
36376,N#CCC1OC1C1CO1,69.78
36377,N#CCN1CC1C1CC1,78.8
36378,N#CCN1CC1C1CN1,76.82
36379,N#CCN1CC1C1CO1,74.3
36380,C#CCC1CC1CC#C,88.13
36381,C#CCC1CC1CC#N,82.85
36382,C#CCC1CN1CC#C,82.91
36383,C#CCC1CN1CC#N,77.66
36384,C#CCC1NC1CC#C,84.98
36385,C#CCC1NC1CC#N,79.73
36386,C#CCC1OC1CC#C,81.24
36387,C#CCC1OC1CC#N,76.05
36388,C#CCN1CC1CC#N,77.81
36389,N#CCC1CC1CC#N,77.62
36390,N#CCC1CN1CC#N,72.61
36391,N#CCC1NC1CC#N,74.54
36392,N#CCC1OC1CC#N,70.91
36393,C#CCC1CC2(C1)CC2,89.49
36394,C#CCC1CC2(CC2)O1,82.33
36395,C#CCC1CC2(CO2)C1,81.88
36396,C#CCN1CC2(C1)CN2,83.1
36397,C#CCN1CC2(C1)CO2,79.32
36398,C1CC12CC(C2)CC#N,84.39
36399,N#CCC1CC2(CC2)O1,77.21
36400,N#CCC1CC2(CO2)C1,76.82
36401,C1CC12CN(C2)CC#N,81.73
36402,C1C2(N1)CN(C2)CC#N,78.05
36403,C1C2(CN1CC#N)CO2,74.27
36404,C#CCC1CC2CC1C2,87.64
36405,C#CCC1CC2CC1O2,80.13
36406,C#CCC1OC2CC1C2,80.35
36407,N#CCC1CC2CC1C2,82.52
36408,N#CCC1CC2CC1O2,75.11
36409,N#CCC1CC2CN1C2,79.15
36410,N#CCC1OC2CC1C2,75.36
36411,N#CCN1CC2CC1C2,79.59
36412,C#CCC1CC2CC2C1,87.08
36413,C#CCC1CC2CC2O1,80.97
36414,C#CCC1CC2OC2C1,79.83
36415,C#CCC1OC2CC2O1,73.73
36416,C#CCN1CC2NC2C1,80.97
36417,C#CCN1CC2OC2C1,76.92
36418,N#CCC1CC2CC2C1,81.88
36419,N#CCC1CC2CC2O1,75.89
36420,N#CCC1CC2CN2C1,78.27
36421,N#CCC1CC2OC2C1,74.67
36422,N#CCC1OC2CC2O1,68.77
36423,N#CCN1CC2CC2C1,79.23
36424,N#CCN1CC2NC2C1,75.77
36425,N#CCN1CC2OC2C1,71.75
36426,C#CCC1CC2CCC12,87.89
36427,C#CCC1CC2COC12,80.54
36428,C#CCC1CC2OCC12,80.48
36429,C#CCC1NC2COC12,77.15
36430,C#CCC1OC2CCC12,81.07
36431,C#CCC1OC2COC12,73.38
36432,C#CCN1CC2OCC12,78.32
36433,N#CCC1CC2CCC12,82.76
36434,N#CCC1CC2CCN12,78.94
36435,N#CCC1CC2COC12,75.48
36436,N#CCC1CC2OCC12,75.39
36437,N#CCC1NC2COC12,72.41
36438,N#CCC1OC2CCC12,75.92
36439,N#CCC1OC2CNC12,72.81
36440,N#CCC1OC2COC12,68.76
36441,N#CCN1CC2CCC12,80.59
36442,N#CCN1CC2OCC12,73.28
36443,C#CCC1CCC11CC1,88.89
36444,C#CCC1CCC11CO1,81.36
36445,C#CCC1COC11CC1,81.48
36446,C#CCC1OCC11CC1,80.41
36447,C#CCC1OCC11CN1,76.86
36448,C#CCC1OCC11CO1,73.34
36449,N#CCC1CCC11CC1,83.72
36450,N#CCC1CCC11CN1,80.15
36451,N#CCC1CCC11CO1,76.32
36452,N#CCC1COC11CC1,76.42
36453,N#CCC1NCC11CN1,76.98
36454,N#CCC1NCC11CO1,73.14
36455,N#CCC1OCC11CC1,76.83
36456,N#CCC1OCC11CN1,73.31
36457,N#CCC1OCC11CO1,69.56
36458,C1CC12CCN2CC#N,80.8
36459,C#CC1CCC1CC#N,82.33
36460,C#CC1CCN1CC#N,79.16
36461,C#CC1CNC1CC#N,79.17
36462,C#CC1COC1CC#N,75.2
36463,C#CC1OCC1CC#N,74.97
36464,C#CCC1CCC1C#C,87.64
36465,C#CCC1CCC1C#N,82.07
36466,C#CCC1CNC1C#N,78.62
36467,C#CCC1COC1C#C,80.08
36468,C#CCC1COC1C#N,74.47
36469,C#CCC1NCC1C#N,79.02
36470,C#CCC1OCC1C#C,80.49
36471,C#CCC1OCC1C#N,75.26
36472,C#CCN1CCC1C#C,85.63
36473,C#CCN1CCC1C#N,79.99
36474,N#CCC1CCC1C#N,76.72
36475,N#CCC1CNC1C#N,73.42
36476,N#CCC1COC1C#N,69.35
36477,N#CCC1NCC1C#N,73.78
36478,N#CCC1OCC1C#N,69.99
36479,N#CCN1CCC1C#N,74.8
36480,C#CCC1CCC2CC12,87.3
36481,C#CCC1CCC2OC12,80.03
36482,C#CCC1COC2CC12,79.79
36483,C#CCC1OCC2CC12,81.0
36484,C#CCC1OCC2NC12,77.94
36485,C#CCC1OCC2OC12,73.92
36486,N#CCC1CCC2CC12,82.23
36487,N#CCC1CCC2CN12,78.92
36488,N#CCC1CCC2NC12,79.01
36489,N#CCC1CCC2OC12,75.02
36490,N#CCC1CCN2CC12,78.57
36491,N#CCC1COC2CC12,74.79
36492,N#CCC1NCC2NC12,76.35
36493,N#CCC1NCC2OC12,72.27
36494,N#CCC1OCC2CC12,75.93
36495,N#CCC1OCC2NC12,72.87
36496,N#CCC1OCC2OC12,68.9
36497,N#CCN1CCC2CC12,79.11
36498,C#CCC1CC=CCO1,82.75
36499,C#CCC1CCC=CC1,89.64
36500,C#CCC1CCN=CO1,78.6
36501,C#CCC1COC=NC1,77.91
36502,N#CCC1CC=CCO1,77.76
36503,N#CCC1CCC=CC1,84.5
36504,N#CCC1CCN=CO1,73.62
36505,N#CCC1COC=NC1,73.0
36506,C1CN(CC=C1)CC#N,81.28
36507,C#CCC1CCCC=C1,90.73
36508,C#CCC1CCOC=N1,79.12
36509,C#CCC1COCC=C1,83.6
36510,C#CCC1OCCC=C1,83.92
36511,N#CCC1CCCC=C1,85.41
36512,N#CCC1CCOC=N1,73.96
36513,N#CCC1COCC=C1,78.41
36514,N#CCC1OCCC=C1,78.71
36515,C#CCC1CCCCC1,91.39
36516,C#CCC1CCCCO1,84.77
36517,C#CCC1CCCOC1,84.51
36518,C#CCC1CCOCC1,84.4
36519,C#CCC1CCOCO1,77.37
36520,C#CCC1COCCO1,77.8
36521,C#CCC1COCOC1,76.84
36522,C#CCC1OCCCO1,77.52
36523,C#CCN1CCOCC1,81.88
36524,C1CCC(CC1)CC#N,86.25
36525,N#CCC1CCCCO1,79.74
36526,N#CCC1CCCOC1,79.44
36527,C1COCCC1CC#N,79.34
36528,N#CCC1CCOCO1,72.41
36529,N#CCC1COCCN1,76.45
36530,N#CCC1COCCO1,72.89
36531,C1C(COCO1)CC#N,71.94
36532,C1COC(OC1)CC#N,72.59
36533,C1CCN(CC1)CC#N,83.81
36534,C1COCCN1CC#N,76.79
36535,C#CCN=C1OC2CC12,78.17
36536,N#CCN=C1CC2CN12,75.5
36537,N#CCN=C1OC2CC12,73.04
36538,C#CCN=C1CN=CN1,77.73
36539,C1C(=NCC#N)NC=N1,73.15
36540,C#CCN=C1C=CCO1,81.1
36541,C1C=CC(=NCC#N)O1,75.5
36542,C#CCN=C1CCCO1,80.18
36543,C#CCN=C1COCO1,72.67
36544,C#CCN=C1NCCO1,77.27
36545,C1CC(=NCC#N)OC1,74.92
36546,C1C(=NCC#N)OCO1,67.46
36547,C1COC(=NCC#N)N1,72.22
36548,C#CCN=COC1CC1,81.4
36549,C1CC1OC=NCC#N,76.8
36550,C#CCCC#CC1CC1,94.24
36551,C#CCCC#CC1CN1,90.58
36552,C#CCCC#CC1CO1,86.75
36553,C1CC1C#CCCC#N,88.85
36554,N#CCCC#CC1CN1,85.16
36555,N#CCCC#CC1CO1,81.14
36556,C#CCC#CCCC#N,83.86
36557,C#CCCC#CCC#C,89.65
36558,C#CCCC#CCC#N,84.66
36559,C(CC#N)C#CCC#N,78.99
36560,C#CC(CCC#N)C#C,81.23
36561,C#CC(CCC#N)C#N,76.05
36562,C#CC(C#C)NCC#N,78.3
36563,C#CC(NCC#N)C#N,73.02
36564,C#CC(C#C)OCC#N,75.31
36565,C#CC(OCC#N)C#N,70.28
36566,C#CCCC(C#C)C#C,86.49
36567,C#CCCC(C#C)C#N,81.33
36568,C#CCNC(C#C)C#C,81.5
36569,C#CCNC(C#C)C#N,76.16
36570,C#CCNC(C#N)C#N,71.56
36571,C#CCOC(C#C)C#C,80.57
36572,C#CCOC(C#C)C#N,75.59
36573,C#CCOC(C#N)C#N,70.51
36574,C(C#N)NC(C#N)C#N,68.14
36575,C#CC1(CC1)NCC#N,80.07
36576,C#CC1(CC1)OCC#N,75.39
36577,C#CC1(CC1)CCC#N,83.19
36578,C#CC1(CCC#N)CN1,79.84
36579,C#CC1(CCC#N)CO1,75.75
36580,C#CCCC1(CC1)C#C,88.35
36581,C#CCCC1(CC1)C#N,82.8
36582,C#CCCC1(CN1)C#C,84.6
36583,C#CCCC1(CN1)C#N,79.17
36584,C#CCCC1(CO1)C#C,80.89
36585,C#CCCC1(CO1)C#N,75.63
36586,C#CCNC1(CC1)C#N,78.13
36587,C#CCOC1(CC1)C#C,82.04
36588,C#CCOC1(CC1)C#N,76.69
36589,C1CC1(CCC#N)C#N,77.66
36590,N#CCCC1(CN1)C#N,74.07
36591,N#CCCC1(CO1)C#N,70.51
36592,C1CC1(C#N)NCC#N,73.21
36593,C1CC1(C#N)OCC#N,70.01
36594,C#CCCC12CC(C1)C2,89.75
36595,C#CCCC12CC(C1)O2,82.38
36596,C#CCCC12CN(C1)C2,85.72
36597,C#CCNC12CN(C1)C2,80.77
36598,C#CCOC12CC(C1)C2,83.04
36599,C#CCOC12CN(C1)C2,79.58
36600,N#CCCC12CC(C1)C2,84.54
36601,N#CCCC12CC(C1)O2,77.17
36602,N#CCCC12CN(C1)C2,80.68
36603,N#CCNC12CC(C1)C2,81.43
36604,N#CCNC12CN(C1)C2,77.9
36605,N#CCOC12CC(C1)C2,77.81
36606,N#CCOC12CN(C1)C2,74.56
36607,C#CCCC12CC1CC2,89.46
36608,C#CCCC12CC1CO2,82.36
36609,C#CCCC12CC1OC2,81.7
36610,C#CCCC12CCC1O2,82.14
36611,C#CCNC12CC1OC2,76.88
36612,C#CCOC12CC1CC2,82.9
36613,C#CCOC12CC1OC2,75.36
36614,N#CCCC12CC1CC2,84.29
36615,N#CCCC12CC1CO2,77.2
36616,N#CCCC12CC1OC2,76.65
36617,N#CCCC12CCC1N2,80.67
36618,N#CCCC12CCC1O2,76.98
36619,N#CCCC12CN1CC2,80.2
36620,N#CCNC12CC1CC2,81.22
36621,N#CCNC12CC1OC2,73.65
36622,N#CCOC12CC1CC2,77.69
36623,N#CCOC12CC1OC2,68.72
36624,C#CCCC1=CCCC1,92.34
36625,C#CCCC1=CCOC1,85.25
36626,C#CCCC1=NCCO1,79.66
36627,C#CCNC1=NCCO1,75.98
36628,C#CCOC1=NCCC1,81.04
36629,C#CCOC1=NCCN1,77.12
36630,C1CC=C(C1)CCC#N,86.98
36631,C1C=C(CO1)CCC#N,79.95
36632,C1COC(=N1)CCC#N,74.43
36633,C1COC(=N1)NCC#N,72.16
36634,N#CCOC1=NCCC1,75.72
36635,N#CCOC1=NCCN1,71.86
36636,C#CCCC1C2CC1C2,89.72
36637,C#CCCC1C2CC1O2,81.81
36638,C#CCNC1C2CC1O2,76.81
36639,C#CCOC1C2CC1C2,83.03
36640,C#CCOC1C2CC1O2,75.47
36641,N#CCCC1C2CC1C2,84.52
36642,N#CCCC1C2CC1O2,76.76
36643,N#CCCC1C2CN1C2,81.06
36644,N#CCCN1C2CC1C2,81.79
36645,N#CCNC1C2CC1C2,81.4
36646,N#CCNC1C2CC1O2,73.92
36647,N#CCOC1C2CC1C2,76.2
36648,N#CCOC1C2CC1O2,68.7
36649,C#CCCC1C2CCC12,88.43
36650,C#CCCC1C2COC12,81.34
36651,C#CCOC1C2CCC12,80.02
36652,C#CCOC1C2COC12,74.5
36653,N#CCCC1C2CCC12,83.32
36654,N#CCCC1C2CCN12,79.48
36655,N#CCCC1C2COC12,76.23
36656,N#CCCN1C2CCC12,80.36
36657,N#CCNC1C2CCC12,78.52
36658,N#CCNC1C2COC12,71.16
36659,N#CCOC1C2CCC12,75.32
36660,N#CCOC1C2COC12,69.32
36661,C#CC1CC1CCC#N,83.18
36662,C#CC1CC1NCC#N,80.02
36663,C#CC1CC1OCC#N,74.87
36664,C#CC1CN1CCC#N,80.16
36665,C#CC1NC1CCC#N,79.93
36666,C#CC1OC1CCC#N,75.95
36667,C#CCCC1CC1C#C,88.23
36668,C#CCCC1CC1C#N,82.89
36669,C#CCCC1NC1C#C,84.99
36670,C#CCCC1NC1C#N,79.69
36671,C#CCCC1OC1C#C,80.99
36672,C#CCCC1OC1C#N,75.82
36673,C#CCCN1CC1C#C,85.16
36674,C#CCCN1CC1C#N,79.89
36675,C#CCNC1CC1C#N,78.49
36676,C#CCOC1CC1C#C,81.72
36677,C#CCOC1CC1C#N,76.45
36678,N#CCCC1CC1C#N,77.84
36679,N#CCCC1NC1C#N,74.62
36680,N#CCCC1OC1C#N,70.78
36681,N#CCCN1CC1C#N,74.9
36682,N#CCNC1CC1C#N,74.84
36683,N#CCOC1CC1C#N,71.3
36684,C#CCCC1CC2CC12,88.47
36685,C#CCCC1CC2OC12,81.2
36686,C#CCCC1OC2CC12,81.39
36687,C#CCOC1CC2CC12,82.2
36688,C#CCOC1CC2NC12,79.12
36689,C#CCOC1CC2OC12,75.15
36690,C#CCOC1CN2CC12,78.52
36691,N#CCCC1CC2CC12,83.36
36692,N#CCCC1CC2CN12,79.65
36693,N#CCCC1CC2OC12,76.1
36694,N#CCCC1OC2CC12,76.3
36695,N#CCCN1CC2CC12,80.68
36696,N#CCNC1CC2CC12,80.41
36697,N#CCNC1CC2NC12,77.11
36698,N#CCNC1CC2OC12,73.16
36699,N#CCNC1CN2CC12,76.77
36700,N#CCOC1CC2CC12,75.78
36701,N#CCOC1CC2NC12,72.55
36702,N#CCOC1CC2OC12,68.56
36703,N#CCOC1CN2CC12,72.16
36704,C#CCCC1CC=CC1,89.89
36705,C#CCCC1CN=CO1,78.12
36706,C#CCOC1CC=CC1,83.43
36707,C#CCOC1CN=CO1,71.86
36708,N#CCCC1CC=CC1,84.73
36709,N#CCCC1CN=CO1,73.1
36710,C1C=CCN1CCC#N,82.29
36711,N#CCNC1CC=CC1,81.51
36712,N#CCOC1CC=CC1,77.03
36713,N#CCOC1CN=CO1,66.83
36714,C#CCCC1CCC=C1,91.1
36715,C#CCCC1COC=N1,78.73
36716,C#CCCC1OCC=C1,84.2
36717,C#CCOC1CCC=C1,84.8
36718,C#CCOC1OCC=C1,77.3
36719,N#CCCC1CCC=C1,85.88
36720,N#CCCC1COC=N1,73.65
36721,N#CCCC1OCC=C1,78.95
36722,N#CCNC1CCC=C1,82.89
36723,N#CCOC1CCC=C1,79.31
36724,N#CCOC1OCC=C1,70.26
36725,C#CCCC1CCCC1,92.0
36726,C#CCCC1CCCO1,85.43
36727,C#CCCC1CCOC1,84.81
36728,C#CCCC1COCO1,77.57
36729,C#CCCC1OCCO1,78.36
36730,C#CCOC1CCCC1,85.16
36731,C#CCOC1CCCO1,78.03
36732,C#CCOC1CCOC1,78.22
36733,C1CCC(C1)CCC#N,86.8
36734,N#CCCC1CCCO1,80.28
36735,N#CCCC1CCOC1,79.45
36736,N#CCCC1COCO1,72.56
36737,C1COC(O1)CCC#N,73.24
36738,C1CCC(C1)NCC#N,83.57
36739,N#CCNC1CCOC1,76.49
36740,C1CCC(C1)OCC#N,79.03
36741,N#CCOC1CCCO1,73.01
36742,N#CCOC1CCOC1,73.18
36743,C#CCCN=C1CCO1,82.83
36744,C1COC1=NCCC#N,77.57
36745,C#CCOC=NC1CC1,87.5
36746,C1CC1N=COCC#N,77.21
36747,C#CCN=CNCC#N,80.22
36748,C#CCN=COCC#N,74.25
36749,C#CCNC=NCC#N,80.5
36750,C#CCN=COCC#C,78.83
36751,C#CCOC=NCC#N,74.29
36752,C(C#N)NC=NCC#N,75.26
36753,C(C#N)N=COCC#N,69.77
36754,C#CC#CCCCC#N,92.6
36755,C#CC#CCNCC#N,87.79
36756,C#CC#CCOCC#N,86.48
36757,C#CCCCC#CC#C,98.08
36758,C#CCCCC#CC#N,90.67
36759,C#CCNCC#CC#N,86.49
36760,C#CCOCC#CC#C,91.79
36761,C#CCOCC#CC#N,84.1
36762,C(CC#CC#N)CC#N,85.06
36763,C(C#CC#N)NCC#N,81.88
36764,C(C#CC#N)OCC#N,78.61
36765,C#CCCCC1CCC1,92.82
36766,C#CCCCC1CCO1,85.71
36767,C#CCCCC1COC1,84.92
36768,C#CCCOC1CCC1,86.15
36769,C#CCCOC1COC1,78.45
36770,C#CCOCC1CCC1,86.5
36771,C#CCOCC1CCO1,77.72
36772,C#CCOCC1COC1,78.67
36773,C1CC(C1)CCCC#N,87.74
36774,N#CCCCC1CCO1,80.59
36775,C1C(CO1)CCCC#N,79.89
36776,C1C(CO1)NCCC#N,77.14
36777,C1CC(C1)OCCC#N,81.14
36778,C1C(CO1)OCCC#N,73.51
36779,C1CC(C1)CNCC#N,84.89
36780,N#CCNCC1CCO1,77.47
36781,C1C(CO1)CNCC#N,77.13
36782,C1CC(C1)COCC#N,81.46
36783,N#CCOCC1CCO1,71.77
36784,C1C(CO1)COCC#N,73.66
36785,C#CCCCCC1CC1,93.14
36786,C#CCCCCC1CO1,86.13
36787,C#CCCCCN1CC1,90.14
36788,C#CCCCOC1CC1,86.46
36789,C#CCCOCC1CC1,86.67
36790,C#CCCOCC1CN1,83.22
36791,C#CCCOCC1CO1,79.63
36792,C#CCOCCC1CC1,86.68
36793,C#CCOCCC1CO1,79.68
36794,C#CCOCCN1CC1,82.28
36795,C1CC1CCCCC#N,88.04
36796,N#CCCCCC1CO1,81.03
36797,C1CN1CCCCC#N,85.05
36798,C1CC1OCCCC#N,81.4
36799,N#CCCNCC1CN1,81.71
36800,N#CCCNCC1CO1,78.13
36801,C1CC1COCCC#N,81.68
36802,N#CCCOCC1CN1,78.26
36803,N#CCCOCC1CO1,74.64
36804,C1CC1CCNCC#N,84.99
36805,N#CCNCCC1CO1,78.07
36806,C1CN1CCNCC#N,81.99
36807,C1CC1CCOCC#N,81.6
36808,N#CCOCCC1CO1,74.59
36809,C1CN1CCOCC#N,76.7
36810,C#CCCCCCC#C,92.09
36811,C#CCCCCCC#N,86.95
36812,C#CCCCNCC#N,83.92
36813,C#CCCCOCC#C,85.56
36814,C#CCCCOCC#N,80.43
36815,C#CCCOCCC#C,85.26
36816,C#CCCOCCC#N,80.21
36817,C#CCOCCCC#N,80.49
36818,C(CCC#N)CCC#N,81.8
36819,C(CC#N)CNCC#N,78.83
36820,C(CC#N)COCC#N,75.36
36821,C(CNCCC#N)C#N,78.89
36822,C(COCCC#N)C#N,75.16
36823,C1CC1CC#CC2CC2,94.54
36824,C(C#CC1CC1)C1CN1,90.31
36825,C(C#CC1CC1)C1CO1,87.08
36826,C1CC1C#CCN2CC2,89.85
36827,C(C#CC1CN1)C1CC1,90.71
36828,C(C#CC1CN1)C1CN1,87.19
36829,C(C#CC1CN1)C1CO1,83.36
36830,C(C#CC1CN1)N1CC1,86.61
36831,C(C#CC1CO1)C1CC1,86.9
36832,C(C#CC1CO1)C1CN1,82.77
36833,C(C#CC1CO1)C1CO1,80.07
36834,C(C#CC1CO1)N1CC1,81.8
36835,C(C1CC1)C12CC(C1)C2,90.12
36836,C(C1CC1)C12CC(C1)O2,82.9
36837,C(C1CC1)C12CN(C1)C2,86.0
36838,C(C1CO1)C12CC(C1)C2,83.35
36839,C(C1CO1)C12CC(C1)O2,76.01
36840,C(C1CO1)C12CN(C1)C2,79.3
36841,C(N1CC1)C12CC(C1)C2,87.3
36842,C(N1CC1)C12CC(C1)O2,80.05
36843,C(N1CC1)C12CN(C1)C2,83.19
36844,C1CC1OC12CC(C1)C2,83.25
36845,C1CC1OC12CN(C1)C2,79.46
36846,C(C1CC1)C12CC1CC2,89.82
36847,C(C1CC1)C12CC1CO2,82.9
36848,C(C1CC1)C12CC1OC2,82.13
36849,C(C1CC1)C12CCC1O2,82.72
36850,C(C1CO1)C12CC1CC2,83.11
36851,C(C1CO1)C12CC1CO2,75.29
36852,C(C1CO1)C12CC1OC2,75.46
36853,C(C1CO1)C12CCC1N2,79.62
36854,C(C1CO1)C12CCC1O2,75.21
36855,C(N1CC1)C12CC1CC2,85.91
36856,C(N1CC1)C12CC1CO2,79.74
36857,C(N1CC1)C12CC1OC2,79.5
36858,C(N1CC1)C12CCC1N2,82.91
36859,C(N1CC1)C12CCC1O2,79.25
36860,C1CC1OC12CC1CC2,83.2
36861,C1CC1OC12CC1OC2,75.62
36862,C1CC=C(C1)CC2CC2,92.88
36863,C1CC1CC2=CCOC2,85.87
36864,C1CC1CC2=NCCO2,80.67
36865,C(C1CN1)C1=NCCO1,77.15
36866,C(C1CO1)C1=CCCC1,85.63
36867,C(C1CO1)C1=CCOC1,78.62
36868,C(C1CO1)C1=NCCO1,73.52
36869,C1CC=C(C1)CN2CC2,89.89
36870,C1CN1CC2=CCOC2,82.57
36871,C1COC(=N1)CN2CC2,77.48
36872,C1CC1NC2=NCCO2,77.99
36873,C1CC1OC1=NCCC1,81.52
36874,C1CC1OC1=NCCN1,77.68
36875,C(C1C2CC1C2)N1CC1,87.2
36876,C(C1C2CC1O2)N1CC1,79.41
36877,C(C1C2CN1C2)N1CC1,83.92
36878,C(C1CC1)C1C2CC1C2,90.71
36879,C(C1CC1)C1C2CC1O2,82.93
36880,C(C1CO1)C1C2CC1C2,83.26
36881,C(C1CO1)C1C2CC1O2,75.43
36882,C(C1CO1)N1C2CC1C2,80.51
36883,C1CC1OC1C2CC1C2,83.38
36884,C1CC1OC1C2CC1O2,76.49
36885,C(C1C2CCC12)N1CC1,86.13
36886,C(C1C2COC12)N1CC1,78.79
36887,C(C1CC1)C1C2CCC12,89.75
36888,C(C1CC1)C1C2COC12,81.77
36889,C(C1CN1)N1C2CCC12,82.67
36890,C(C1CO1)C1C2CCC12,82.02
36891,C(C1CO1)C1C2COC12,75.61
36892,C(C1CO1)N1C2CCC12,79.02
36893,C1CC1OC1C2CCC12,82.36
36894,C1CC1OC1C2COC12,75.09
36895,C(C1CC1)C1CC2CC12,89.55
36896,C(C1CC1)C1CC2OC12,82.3
36897,C(C1CC1)C1OC2CC12,82.69
36898,C(C1CC2CC12)N1CC1,86.77
36899,C(C1CC2OC12)N1CC1,79.55
36900,C(C1CO1)C1CC2CC12,82.15
36901,C(C1CO1)C1CC2OC12,74.95
36902,C(C1CO1)C1OC2CC12,75.2
36903,C(C1OC2CC12)N1CC1,78.6
36904,C1CC1OC1CC2CC12,82.85
36905,C1CC1OC1CC2NC12,78.88
36906,C1CC1OC1CC2OC12,75.7
36907,C1CC1OC1CN2CC12,79.45
36908,C(C1CC1)C1CC=CC1,90.8
36909,C(C1CC1)C1CN=CO1,78.94
36910,C(C1CC=CC1)N1CC1,87.95
36911,C(C1CN=CO1)N1CC1,76.1
36912,C(C1CO1)C1CC=CC1,83.71
36913,C(C1CO1)C1CN=CO1,72.31
36914,C1CC1OC1CC=CC1,84.21
36915,C1CC1OC1CN=CO1,72.49
36916,C(C1CC1)C1CCC=C1,91.75
36917,C(C1CC1)C1COC=N1,79.54
36918,C(C1CC1)C1OCC=C1,85.29
36919,C(C1CCC=C1)N1CC1,88.77
36920,C(C1CO1)C1CCC=C1,85.01
36921,C(C1CO1)C1COC=N1,72.78
36922,C(C1CO1)C1OCC=C1,77.65
36923,C(C1COC=N1)N1CC1,76.69
36924,C(C1OCC=C1)N1CC1,81.65
36925,C1CC1OC1CCC=C1,85.53
36926,C1CC1OC1OCC=C1,78.2
36927,C1CCC(C1)CC2CC2,92.79
36928,C(C1CC1)C1CCCO1,86.14
36929,C(C1CC1)C1CCOC1,85.51
36930,C(C1CC1)C1COCO1,78.38
36931,C1CC1CC2OCCO2,79.41
36932,C1CCC(C1)CN2CC2,90.02
36933,C(C1CCCO1)N1CC1,83.11
36934,C(C1CCOC1)N1CC1,82.37
36935,C(C1CO1)C1CCCC1,85.71
36936,C(C1CO1)C1CCCO1,79.23
36937,C(C1CO1)C1CCOC1,78.83
36938,C(C1CO1)C1COCO1,71.8
36939,C(C1CO1)C1OCCO1,71.98
36940,C(C1COCO1)N1CC1,75.85
36941,C1CN1CC2OCCO2,75.2
36942,C1CCC(C1)OC2CC2,86.17
36943,C1CC1OC1CCCO1,79.21
36944,C1CC1OC1CCOC1,78.92
36945,C1CC(C1)CC2CCC2,93.56
36946,C(C1CCC1)C1CCO1,86.39
36947,C1CC(C1)CC2COC2,85.75
36948,C(C1CCO1)C1CCO1,79.43
36949,C(C1COC1)C1CCO1,78.51
36950,C1C(CO1)CC2COC2,78.04
36951,C1CC(C1)OC2CCC2,86.98
36952,C1CC(C1)OC2COC2,79.32
36953,C1C(CO1)NC2COC2,75.33
36954,C1C(CO1)OC2COC2,71.88
36955,C1CC1CN=C2CCO2,84.3
36956,C(N=C1CCO1)C1CN1,78.38
36957,C(N=C1CCO1)C1CO1,76.3
36958,C1CC1N=COC2CC2,84.44
36959,C1CC1CCCC2CC2,94.13
36960,C(CC1CC1)CC1CO1,87.09
36961,C1CC1CCCN2CC2,91.21
36962,C1CC1CCOC2CC2,87.56
36963,C(CC1CO1)CC1CO1,80.22
36964,C(CC1CO1)CN1CC1,84.11
36965,C(CC1CO1)OC1CC1,80.48
36966,C1CN1CCCN2CC2,88.29
36967,C1CC1OCCN2CC2,84.54
36968,C1CC1COCC2CC2,88.0
36969,C(OCC1CN1)C1CC1,84.46
36970,C(OCC1CN1)C1CN1,81.24
36971,C(OCC1CO1)C1CC1,80.99
36972,C(OCC1CO1)C1CN1,77.64
36973,C(OCC1CO1)C1CO1,74.04
36974,C1CC(C1)CCC2CC2,93.65
36975,C(CC1CCC1)C1CO1,86.98
36976,C(CC1CCO1)C1CC1,86.83
36977,C(CC1CCO1)C1CO1,79.65
36978,C1CC1CCC2COC2,85.84
36979,C(CC1COC1)C1CO1,79.14
36980,C1CC(C1)CCN2CC2,90.7
36981,C(CN1CC1)C1CCO1,83.9
36982,C1CN1CCC2COC2,82.97
36983,C1CC(C1)COC2CC2,87.18
36984,C(OC1CC1)C1CCO1,79.76
36985,C1CC1OCC2COC2,79.43
36986,C1CC(C1)OCC2CC2,87.35
36987,C(OC1CCC1)C1CN1,84.15
36988,C(OC1CCC1)C1CO1,80.57
36989,C1CC1COC2COC2,79.76
36990,C(OC1COC1)C1CN1,76.55
36991,C(OC1COC1)C1CO1,72.96
36992,C1=C2C3C4C1C1C2C3N41,76.08
36993,C1=C2C3C4C1C1C4C3C21,80.19
36994,C1=C2C3C4C1C1C4N3C21,73.98
36995,C1=C2C3C4C1N1C4C3C21,73.7
36996,C1=C2C3C4C2C2C1C2N34,77.76
36997,C1=C2C3C4C3C2N2C1C42,75.71
36998,C1=C2C3C4C3N3C1C3C24,77.92
36999,C1=C2C3C4C5C1C5C2C34,79.59
37000,C1=C2C3C4C5C1C5C2N34,74.99
37001,N1=C2C3C4C1C4C1C3N21,70.69
37002,C1=CC23C=CC4C2C1C34,80.17
37003,C1=CC23C=CC4C2C1N34,75.87
37004,C1CC2(C1)CC23CCC3,90.66
37005,C1C2(CCC2)C11CCO1,83.45
37006,C1CC2(C1)CC23COC3,82.93
37007,C1C2(CCO2)C11CCO1,76.25
37008,C1C2(COC2)C11CCO1,76.04
37009,C1C2(C13COC3)COC2,75.62
37010,C1CC2(C1)C3(N2)COC3,79.47
37011,C1CC2(C1)C3(O2)CCC3,82.94
37012,C1CC2(C1)C3(O2)COC3,75.65
37013,C1C2(CO1)C3(N2)COC3,72.2
