,BCCvolume_pa_min_value,BCCefflatcnt_min_value,GSestBCClatcnt_min_value,GSvolume_pa_min_value,AtomicVolume_arithmetic_average,GSestFCClatcnt_min_value,HeatVaporization_arithmetic_average,CovalentRadius_min_value,CovalentRadii_min_value,BoilingT_arithmetic_average,GSenergy_pa_composition_average,IsSimpleCubic_composition_average,n_ws^third_arithmetic_average,HeatVaporization_composition_average,AtomicVolume_composition_average,IsNonmetal_composition_average,IonicRadii_difference,AtomicVolume_difference,IonicRadii_min_value,IsPnictide_composition_average,Density_composition_average,GSbandgap_composition_average,AtomicRadii_composition_average,ThermalExpansionCoefficient_min_value,IsMetal_composition_average,target
737,15.62,6.29893322,3.1964805060000003,16.33,53.899403184162,4.027313073999999,109.45666666666666,105.0,1.02,1365.5733333333333,-2.8908734295833334,0.0,0.6366666666666667,139.93833333333333,37.1693418744898,0.3333333333333333,1.45,100.3803678580332,0.29,0.0,6211.5,0.7340000000000001,1.5903333333333334,18.9,0.6666666666666666,373.585749391544
738,8.43,5.128407411,2.687689729,9.7075,6247.892108402051,3.386276865,43.4366,57.0,0.72,552.87,-1.2397829789828,0.6,0.5966666666666667,27.36988,11189.378691972672,0.6,0.72,18576.996825258968,1.02,0.0,3083.6176,1.182,1.286,49.0,0.4,1774.585638149632
739,11.08,5.617631503999999,2.807970487,11.07,18.9995402356293,3.537821124,333.5333333333333,105.0,1.02,2978.24,-4.6905191081250015,0.0,1.0366666666666666,203.95,20.269767744337663,0.5,0.44,15.336603862771303,0.29,0.0,5396.25,1.101,1.292875,7.3,0.5,1774.585638149632
740,7.33,4.894871769,2.630893787,9.105,6215.075585696178,3.314718462,251.9036333333333,66.0,0.73,2293.7,-5.188779899545455,0.6363636363636364,0.9033333333333332,138.95239090909092,11841.039940602188,0.6363636363636364,1.14,18572.180788772792,0.26,0.0,1237.6366363636364,0.1405454545454545,1.0336363636363637,2.6,0.1818181818181818,1784.5856373556146
741,6.98,4.815689402,3.091182017,14.76875,9315.014806368805,3.894645292,201.1814,71.0,0.75,1907.105,-6.5694936975000005,0.0,1.415,201.1814,9315.014806368805,0.5,0.55,18554.9683205,1.16,0.5,3073.6255,3.2185,1.3985,5.2,0.5,1784.5856373556146
742,6.6,4.726663002,2.242692341,5.64,9239.090435004273,2.825615289,281.8907,71.0,0.75,2088.2925,-6.468915203,0.0,1.15,226.07112,11109.77214132718,0.8,1.65,18583.673876903507,0.16,0.4,1682.3432,3.9726,1.1234000000000002,5.2,0.2,897.5857077850044
743,16.2,6.375951415,3.1964805060000003,16.33,6150.679567107337,4.027313073999999,109.52333333333334,102.0,0.99,1205.986666666667,-1.7972218825,0.0,0.6366666666666667,84.6925,9192.386434721551,0.5,0.6600000000000001,18300.43138961431,1.15,0.0,3093.857,1.2465,1.5235,100.0,0.5,897.5857077850044
744,10.73,5.557846758999999,2.778923379,10.73,18.6045622114372,3.501224062,288.0566666666667,132.0,1.17,2891.333333333333,-7.114035796666666,0.0,1.5566666666666666,288.0566666666667,18.6045622114372,0.0,0.22,18.4140584742468,0.54,0.3333333333333333,6893.666666666668,0.0,1.384,8.4,1.0,820.5857138989426
745,16.51,6.416364372,3.2135708380000003,16.5933333333,4622.38008108363,4.048845545,154.585,102.0,0.99,1603.99,-2.0750342135,0.0,0.685,73.708,11019.451152796346,0.6,1.05,18295.962979484324,0.76,0.0,878.4284,1.4957999999999998,1.4640000000000002,11.3,0.4,820.5857138989426
746,6.6,4.726663002,2.242692341,5.64,9243.5385561687,2.825615289,216.2232,71.0,0.75,1567.7925,-4.652441540714285,0.0,1.065,144.96937142857143,10562.783337090614,0.7142857142857142,1.65,18583.673876903507,0.16,0.2857142857142857,1075.561428571429,3.193714285714286,1.29,22.5,0.2857142857142857,3336.585514124032
747,6.98,4.815689402,3.091182017,14.76875,6230.983902458567,3.894645292,107.33093333333332,71.0,0.75,1352.4033333333334,-3.591140478,0.0,1.2066666666666666,120.47856,3764.578054145018,0.2,0.6799999999999999,18557.0155075366,1.03,0.4,4062.2502,1.2874,1.856,13.4,0.8,3336.585514124032
748,20.54,6.9009170520000005,3.65918124,24.4975,9191.238159619446,4.610279469,75.19999999999997,102.0,0.99,1190.98,-1.83079659,0.0,0.405,53.53333333333333,12233.327785601034,0.6666666666666666,0.3900000000000001,18252.537755889505,1.42,0.0,1172.1426666666666,1.662,1.4,0.0,0.3333333333333333,276.58575709351777
749,25.56,7.422672127,3.892116444,29.48,48.925478050372455,4.9037594360000005,75.8125,120.0,1.14,993.5,-1.6162880916666666,0.0,0.42,55.45,46.79292714166113,0.6666666666666666,0.7,12.795305452267904,1.26,0.0,2956.666666666666,0.9713333333333334,1.4766666666666666,22.5,0.3333333333333333,276.58575709351777
750,16.2,6.375951415,3.1964805060000003,16.33,4617.246441234624,4.027313073999999,163.25,102.0,0.99,1686.74,-1.839094162,0.0,0.8700000000000001,77.17399999999998,11017.397696856744,0.6,0.96,18300.55997394772,0.85,0.0,3356.7284,1.4957999999999998,1.4166,100.0,0.4,3637.585490224092
751,7.8,4.99733191,2.508239481,7.89,18.156149136045496,3.160183721,154.7,96.0,0.9,1648.25,-4.413226834,0.0,1.66,183.16,16.14455459992635,0.4,0.28,20.115945361191407,0.17,0.4,1838.0,0.65,1.1840000000000002,11.3,0.6,3637.585490224092
752,16.73,6.444738612999999,3.220442052,16.7,53.87062801674404,4.0575027310000005,139.49666666666667,120.0,1.16,1677.0,-2.89533896,0.0,0.7066666666666667,94.226,43.20589866037746,0.6,1.24,100.50895219144353,0.5,0.0,7127.200000000002,0.4794000000000001,1.6624,14.2,0.4,291.58575590249086
753,27.09,7.567916457999999,3.981581991,31.56,61.4161876443824,5.016478962,68.58500000000001,139.0,1.4,1410.5,-3.0660199016666665,0.0,0.93,68.38,51.007932910851295,0.0,0.8500000000000001,62.44952840118661,0.76,0.6666666666666666,4975.333333333334,0.0,1.8866666666666667,11.0,1.0,291.58575590249086
754,19.65,6.7997693120000005,3.390921571,19.495,24.957162747337104,4.272293466,117.50833333333335,120.0,1.16,1447.6666666666663,-2.861277969285714,0.0,0.8033333333333332,93.97428571428571,26.0829371828404,0.5714285714285714,0.45,5.628779170032601,0.5,0.0,6078.0,0.4565714285714286,1.487,30.8,0.4285714285714285,420.58574565965966
755,17.94,6.596508714,3.353549368,18.8575,47.72918908308015,4.225207441,166.48000000000005,122.0,1.26,1754.5,-2.246369066832,0.0,0.98,184.396,42.1054539630806,0.0,0.89,56.2373511999955,0.62,0.0,3884.8,0.0,1.786,19.7,1.0,420.58574565965966
756,16.51,6.416364372,3.2135708380000003,16.5933333333,32.101457774254605,4.048845545,84.0,128.0,1.23,1036.15,-1.68764466375,0.0,0.49,84.0,32.101457774254605,0.5,1.4400000000000002,21.1147993887586,0.76,0.0,2737.5,0.531,1.44,46.0,0.5,718.5857219979254
757,35.36,8.270734499,4.414518159,43.015,48.99099412257015,5.561944354,78.9,139.0,1.33,1056.15,-1.5645394783333333,0.0,0.42,59.56666666666666,46.8802819045914,0.6666666666666666,0.9400000000000002,12.664273307872506,1.26,0.0,4170.0,0.7080000000000001,1.6033333333333335,22.5,0.3333333333333333,718.5857219979254
758,35.36,8.270734499,4.414518159,43.015,53.81406957166454,5.561944354,80.55,139.0,1.33,1300.15,-1.6447756983333333,0.0,0.405,60.66666666666666,50.095665537321,0.6666666666666666,0.7800000000000002,22.310424206061302,1.42,0.0,4463.333333333334,0.708,1.6266666666666667,20.6,0.3333333333333333,504.5857389899089
759,19.65,6.7997693120000005,3.390921571,19.495,6152.181026275972,4.272293466,59.27,102.0,0.99,740.9866666666667,-1.40402039,0.0,0.5966666666666667,39.642,11018.311430791264,0.6,0.8600000000000001,18295.927012108405,0.95,0.0,2107.7284,1.4957999999999998,1.4258,100.0,0.4,504.5857389899089
760,25.56,7.422672127,3.775558738,26.91,35.58435094257335,4.756905929,88.4075,120.0,1.14,1039.0,-1.92785143375,0.0,0.56,88.4075,35.58435094257335,0.5,0.3699999999999999,13.8869487633303,1.59,0.0,7485.0,0.7285,1.4249999999999998,29.9,0.5,381.5857487563297
761,6.6,4.726663002,2.242692341,5.64,14.42073371595226,2.825615289,537.0,76.0,0.77,3736.5,-7.31731583,0.0,1.635,537.0,14.42073371595226,0.5,0.1,11.191288001321082,0.16,0.0,2295.0,2.6345,1.115,1.0,0.0,381.5857487563297
762,19.65,6.7997693120000005,3.390921571,19.495,24.957162747337104,4.272293466,117.50833333333335,120.0,1.16,1447.6666666666663,-2.861277969285714,0.0,0.8033333333333332,93.97428571428571,26.0829371828404,0.5714285714285714,0.45,5.628779170032601,0.5,0.0,6078.0,0.4565714285714286,1.487,30.8,0.4285714285714285,254.58575884035724
763,20.54,6.9009170520000005,3.65918124,24.4975,9191.238159619446,4.610279469,75.19999999999997,102.0,0.99,1190.98,-1.83079659,0.0,0.405,53.53333333333333,12233.32778560103,0.6666666666666666,0.3900000000000001,18252.537755889505,1.42,0.0,1172.1426666666666,1.662,1.4,0.0,0.3333333333333333,254.58575884035724
764,16.73,6.444738612999999,3.220442052,16.7,50.74895764336337,4.0575027310000005,138.17666666666668,136.0,1.33,1515.7666666666669,-1.7378469775000005,0.0,0.7233333333333333,91.266,47.512917573471576,0.6,1.35,75.69388822849521,0.85,0.0,7130.4,0.6372,1.5824,14.2,0.4,501.58573922811433
765,20.17,6.859228862999999,3.695665057,25.2375862069,38.65879916015008,4.656246199,113.2225,120.0,1.16,1373.6825,-2.5361749648842498,0.0,0.7825,76.09375,39.01368440014512,0.5,1.01,51.236122613447705,0.5,0.0,5229.0,0.3995,1.69,22.0,0.5,501.58573922811433
766,11.08,5.617631503999999,2.807970487,11.07,27.244399700266897,3.537821124,160.7,132.0,1.17,1828.65,-2.59302861875,0.0,0.735,160.7,27.244399700266897,0.5,1.4700000000000002,30.828915536734,0.73,0.0,6930.0,0.531,1.304,16.5,0.5,351.58575113838333
767,16.73,6.444738612999999,3.220442052,16.7,6142.365017675219,4.0575027310000005,134.61,102.0,0.99,1442.986666666667,-1.8851271091666664,0.0,0.7233333333333333,72.405,12229.936027619708,0.6666666666666666,0.96,18300.55997394772,0.85,0.0,3474.142666666666,1.662,1.3136666666666668,91.0,0.3333333333333333,351.58575113838333
768,16.73,6.444738612999999,3.220442052,16.7,58.97696824954768,4.0575027310000005,135.63166666666666,120.0,1.14,1468.3333333333337,-1.7626790165,0.0,0.7066666666666667,87.26899999999998,52.397311079424,0.6,1.11,100.50895219144353,0.85,0.0,6107.8,0.8742000000000001,1.5064,100.0,0.4,1001.585699527218
769,20.54,6.9009170520000005,3.65918124,24.4975,9173.073957062554,4.610279469,86.145,102.0,0.99,992.48,-2.0285556425,0.0,0.56,86.145,9173.073957062554,0.5,0.22,18288.86616100329,1.59,0.0,5926.607,1.2465,1.35,29.9,0.5,1001.585699527218
770,6.98,4.815689402,3.091182017,14.76875,6230.160318287981,3.894645292,53.53093333333333,71.0,0.75,729.8366666666666,-3.2706177068750004,0.0,0.8299999999999998,74.3732,4686.451021410113,0.5,0.9400000000000002,18549.84010915017,1.26,0.25,2550.31275,1.87475,1.6375,22.5,0.5,259.58575844334825
771,14.47,6.140393047000001,3.0659471110000003,14.41,23.299706876981467,3.862851303,255.35666666666668,139.0,1.28,2733.0,-5.1802166666666665,0.0,1.4,255.35666666666668,23.299706876981467,0.0,0.12,15.493037175225398,0.64,0.3333333333333333,7235.0,0.0,1.5236666666666667,10.0,1.0,259.58575844334825
772,6.98,4.815689402,3.091182017,14.76875,12324.991761952566,3.894645292,51.06426666666666,71.0,0.75,819.7233333333335,-5.668455928999999,0.0,0.82,31.75568,14831.994643819058,0.8,0.3900000000000001,18527.529684944107,1.42,0.6,703.3933999999998,4.3608,1.1940000000000002,240.0,0.2,770.5857178690321
773,6.98,4.815689402,3.091182017,14.76875,6227.768518825837,3.894645292,106.23093333333333,71.0,0.75,1189.736666666667,-3.446715282,0.0,1.2166666666666666,118.49856,3758.7903636061046,0.2,0.6799999999999999,18557.0155075366,1.03,0.4,3534.2502,1.2874,1.814,13.4,0.8,770.5857178690321
774,14.16,6.096226278,3.2135708380000003,16.5933333333,35.02710355767429,4.048845545,98.8,107.0,1.06,1274.5,-2.851911332142857,0.0,1.1566666666666665,107.15714285714284,28.27537238989857,0.2857142857142857,1.09,33.779072696631104,0.17,0.2857142857142857,1202.285714285715,0.4642857142857143,1.5585714285714287,22.5,0.7142857142857142,686.5857245387828
775,16.51,6.416364372,3.2135708380000003,16.5933333333,26.74993675256947,4.048845545,151.23333333333332,128.0,1.23,1605.0,-2.4619512066666664,0.0,1.1033333333333333,151.23333333333332,26.74993675256947,0.0,0.31,13.939401002331104,0.72,0.3333333333333333,4017.666666666667,0.0,1.6166666666666667,13.4,1.0,686.5857245387828
776,16.2,6.375951415,3.1964805060000003,16.33,28.115415829384965,4.027313073999999,110.27666666666669,132.0,1.33,1174.01,-1.6860717646305714,0.0,0.8666666666666667,92.02285714285712,32.77120969199248,0.5714285714285714,1.1800000000000002,25.583209518743097,1.02,0.0,7753.428571428571,0.6068571428571429,1.4011428571428572,18.9,0.4285714285714285,144.5857675745544
777,25.56,7.422672127,3.892116444,29.48,56.3751552972538,4.9037594360000005,44.85166666666667,120.0,1.14,851.3333333333333,-1.6184582868522224,0.0,0.2,30.82,52.71172715088108,0.6666666666666666,0.99,58.6842631224285,0.97,0.0,3113.777777777778,1.0228888888888892,1.4888888888888892,18.8,0.2222222222222222,144.5857675745544
778,2.89,3.5892684530000003,2.365120549,6.615,4677.496468454482,2.979865165,196.789525,31.0,0.32,1910.0325,-3.5461113725,0.0,1.3075,196.789525,4677.496468454482,0.25,1.28,18601.4575162898,0.26,0.0,1915.022475,2.1565,1.3050000000000002,2.6,0.5,466.5857420071772
779,8.43,5.128407411,2.687689729,9.7075,6246.929516291234,3.386276865,34.46993333333333,57.0,0.72,638.6266666666667,-2.0496265675000003,0.6666666666666666,0.6633333333333333,18.869866666666667,12424.269041809916,0.6666666666666666,1.16,18579.884601591417,0.58,0.1666666666666666,1268.7973333333334,1.3133333333333332,1.1566666666666667,15.4,0.3333333333333333,466.5857420071772
780,14.58,6.155913407999999,3.043082054,14.09,16.7971055755862,3.834043137,441.83,122.0,1.26,3881.0,-5.0643674743750005,0.0,1.58,348.94500000000005,18.2038095293343,0.0,0.01,5.6268158149924,0.62,0.0,10075.5,0.0,1.3924999999999998,5.1,1.0,291.58575590249086
781,25.56,7.422672127,3.892116444,29.48,59.1878450036582,4.9037594360000005,45.8125,120.0,1.14,682.0,-1.340282525415,0.0,0.325,45.8125,59.1878450036582,0.5,0.45,33.320039358839395,1.51,0.0,1988.0,0.7285,1.745,82.0,0.5,291.58575590249086
782,16.51,6.416364372,3.2135708380000003,16.5933333333,32.101457774254605,4.048845545,84.0,128.0,1.23,1036.15,-1.68764466375,0.0,0.49,84.0,32.101457774254605,0.5,1.4400000000000002,21.1147993887586,0.76,0.0,2737.5,0.531,1.44,46.0,0.5,254.58575884035724
783,2.89,3.5892684530000003,2.365120549,6.615,4679.908006179029,2.979865165,197.614525,31.0,0.32,2032.0325,-3.6062885375,0.0,1.3,197.614525,4679.908006179029,0.25,1.28,18601.4575162898,0.26,0.0,2135.022475,2.1565,1.3225,2.6,0.5,254.58575884035724
784,26.25,7.488872387000001,3.775558738,26.91,35.64986701477105,4.756905929,91.495,139.0,1.33,1101.65,-1.88903997375,0.0,0.56,91.495,35.64986701477105,0.5,0.6100000000000001,14.017980907725692,1.59,0.0,8395.0,0.531,1.52,29.9,0.5,768.3583495879683
785,25.56,7.422672127,3.892116444,29.48,79.99192056608125,4.9037594360000005,41.2325,120.0,1.14,638.0,-1.21882589875,0.0,0.275,41.2325,79.99192056608125,0.5,0.22,74.92819048368551,1.74,0.0,2499.5,0.7285,1.905,100.0,0.5,768.3583495879683
786,11.08,5.617631503999999,2.807970487,11.07,24.5467336964538,3.537821124,145.71749999999997,107.0,1.06,1672.625,-3.2823551134375,0.0,1.3375,109.705,26.594756182046467,0.375,0.83,31.1072453705717,0.17,0.375,3971.125,0.609375,1.46525,16.5,0.625,2131.5856098031923
787,14.16,6.096226278,3.033694224,13.96,37.59250471835279,3.822215211,74.86666666666667,119.0,1.2,1033.0,-2.1331338569028566,0.0,1.1366666666666667,69.67142857142858,51.72072484878143,0.0,0.93,60.6421809482754,0.58,0.2857142857142857,3145.428571428572,0.0,1.9302857142857144,15.4,1.0,2131.5856098031923
788,6.11,4.606669594,2.429779429,7.1725,48.82591627012891,3.061330249,202.64666666666668,84.0,0.82,2034.666666666667,-3.0905592940283326,0.0,1.2466666666666668,129.30333333333334,67.1856243605688,0.0,1.51,110.15824854263929,0.23,0.3333333333333333,3258.5,0.254,1.961666666666667,4.7,0.8333333333333333,65.58577384729607
789,20.54,6.9009170520000005,3.65918124,24.4975,9217.481526686062,4.610279469,38.97,102.0,0.99,591.48,-1.3195301075,0.0,0.275,38.97,9217.481526686062,0.5,0.07,18200.05102175628,1.74,0.0,941.107,1.2465,1.83,100.0,0.5,65.58577384729607
790,14.61,6.160132677999999,3.444849839,20.44,53.065453087238254,4.340238825,153.04666666666668,111.0,1.11,1668.0,-3.287189831,0.0,1.163333333333333,111.856,59.67526816136336,0.0,1.48,97.4396380913112,0.26,0.4,3508.4,0.1546,1.888,2.6,0.8,234.5857604283931
791,16.73,6.444738612999999,3.220442052,16.7,56.11992271565056,4.0575027310000005,147.6,136.0,1.34,1778.0,-2.40187385889,0.0,0.7066666666666667,147.6,56.11992271565056,0.0,0.89,100.50895219144353,0.85,0.0,9139.666666666666,0.1546666666666666,1.904,14.2,0.6666666666666666,234.5857604283931
792,28.3,7.678955297999999,4.111975037,34.7633333333,75.70635226523561,5.180763906,59.185,138.0,1.36,1102.5,-1.61685180889,0.0,0.275,62.03666666666666,89.62290677946507,0.0,0.77,83.49932708537679,0.97,0.0,3332.666666666667,0.1546666666666666,2.313333333333333,18.8,0.6666666666666666,847.5857117550943
793,16.73,6.444738612999999,3.220442052,16.7,53.87062801674404,4.0575027310000005,139.49666666666667,120.0,1.16,1677.0,-2.51170366,0.0,0.7066666666666667,139.49666666666667,53.87062801674404,0.3333333333333333,1.24,100.50895219144353,0.5,0.0,8666.0,0.2663333333333333,1.8373333333333333,14.2,0.6666666666666666,847.5857117550943
794,15.62,6.29893322,3.1964805060000003,16.33,20.278872754023965,4.027313073999999,183.81000000000003,105.0,1.02,1981.573333333333,-3.676312529375,0.0,0.9166666666666669,140.35750000000002,22.00079101418577,0.5,0.8599999999999999,10.5721212771613,0.29,0.0,4277.5,1.101,1.3535,18.9,0.5,189.58576400147373
795,6.98,4.815689402,3.091182017,14.76875,6219.5528156722985,3.894645292,95.02093333333332,71.0,0.75,1065.736666666667,-4.291151321,0.0,1.2433333333333332,83.09111999999998,7454.875941346265,0.4,0.99,18569.27667352317,0.72,0.4,1005.7004,2.5748,1.402,22.3,0.6000000000000001,189.58576400147373
796,27.09,7.567916457999999,3.981581991,31.56,74.49843464493034,5.016478962,70.87,139.0,1.4,1278.6666666666667,-1.791767056665,0.0,0.8200000000000001,72.3775,74.83579215446723,0.0,0.98,87.2645923641349,0.76,0.25,2572.0,0.0,2.24,11.0,1.0,123.58576924199208
797,6.98,4.815689402,3.091182017,14.76875,9342.569959231889,3.894645292,35.9964,71.0,0.75,519.105,-6.39941466375,0.0,1.125,19.3946,13967.534462925343,0.75,0.0999999999999998,18499.858014773825,1.61,0.75,383.93825,4.82775,1.31,91.0,0.25,123.58576924199208
798,7.33,4.894871769,2.630893787,9.105,6212.916845162623,3.314718462,151.77030000000005,66.0,0.73,1602.6999999999996,-4.4172459525,0.5,0.75,114.68045,9307.736925494317,0.5,0.6499999999999999,18570.65310840953,0.75,0.0,880.7145,0.0,1.154,10.0,0.5,210.5857623340361
799,6.98,4.815689402,3.091182017,14.76875,6211.353134138431,3.894645292,169.63093333333333,71.0,0.75,1621.736666666667,-6.225674425,0.0,1.3766666666666665,145.57973333333334,9306.512285561585,0.5,1.45,18572.48258890219,0.26,0.5,866.4588333333335,3.476166666666667,1.1583333333333334,2.6,0.1666666666666666,210.5857623340361
800,8.43,5.128407411,2.687689729,9.7075,6212.849685430378,3.386276865,204.52993333333333,57.0,0.72,1740.96,-2.12863120625,0.75,1.0066666666666668,78.74235,13955.823986616766,0.75,0.7000000000000001,18586.24810382186,0.63,0.0,3718.772,1.4775,0.898625,8.8,0.25,926.9151354639648
801,7.33,4.894871769,2.630893787,9.105,6230.8855910807015,3.314718462,46.53696666666667,66.0,0.73,583.9433333333333,-2.3917537598147995,0.4,0.63,43.98436,7472.140360882918,0.4,0.49,18567.58542441977,1.02,0.0,3049.7716000000005,0.0,1.5519999999999998,49.0,0.6000000000000001,926.9151354639648
802,8.43,5.128407411,2.687689729,9.7075,6230.887371915494,3.386276865,65.1566,57.0,0.72,765.6266666666667,-1.486344500166,0.6,0.6566666666666667,40.40188,11179.175850080735,0.6,0.77,18586.4028835938,0.74,0.0,1600.2176,1.182,1.1684,30.2,0.4,254.58575884035724
803,8.43,5.128407411,2.687689729,9.7075,9310.60954040584,3.386276865,129.6649,57.0,0.72,1280.94,-2.02660954375,0.75,0.655,66.46735,13956.10905386722,0.75,0.7100000000000001,18581.99805384552,0.62,0.0,1477.2720000000002,1.4775,0.8925000000000001,19.7,0.25,254.58575884035724
804,15.62,6.29893322,3.2062378330000003,16.48,21.7803319226587,4.039606536,133.55666666666667,105.0,1.02,1516.573333333333,-3.5274124771428577,0.0,0.8766666666666667,103.06714285714284,23.34786538135709,0.5714285714285714,0.6599999999999999,10.5721212771613,0.29,0.0,3127.142857142857,1.2582857142857142,1.347,23.1,0.4285714285714285,749.5857195364697
805,10.44,5.507318082,2.7364067480000003,10.245,19.60786709523613,3.447656463,288.8233333333333,126.0,1.16,2873.333333333333,-6.324326201666668,0.0,1.5100000000000002,288.8233333333333,19.60786709523613,0.0,0.15,19.19556276067589,0.61,0.3333333333333333,6701.333333333332,0.0,1.4303333333333332,8.6,1.0,749.5857195364697
806,15.69,6.308328617000001,3.154164308,15.69,24.72878470517475,3.973998007,320.515,138.0,1.3,3086.5,-5.70957092778,0.0,0.885,230.5533333333333,27.80475271096557,0.0,0.38,18.45580803474489,0.59,0.0,7586.666666666666,0.3093333333333333,1.5206666666666666,4.8,0.3333333333333333,331.59810336415944
807,20.54,6.9009170520000005,3.65918124,24.4975,6153.976612878061,4.610279469,122.77,102.0,0.99,1352.6533333333334,-1.8196558377777776,0.0,0.5966666666666667,54.11666666666667,12240.7690046959,0.6666666666666666,1.1,18290.540252302133,0.71,0.0,1231.9204444444445,1.662,1.4333333333333331,22.0,0.3333333333333333,331.59810336415944
808,7.33,4.894871769,2.630893787,9.105,4667.181075083694,3.314718462,178.37022499999995,66.0,0.73,1936.205,-4.3655524071875,0.25,0.6625,178.37022499999995,4667.181075083694,0.5,1.11,18580.3672245575,0.29,0.0,4256.85725,0.5505,1.28875,5.2,0.5,479.58574097495386
809,35.36,8.270734499,4.414518159,43.015,80.05743663827894,5.561944354,44.31999999999999,139.0,1.33,700.65,-1.18001443875,0.0,0.275,44.31999999999999,80.05743663827894,0.5,0.4600000000000002,74.79715833929009,1.74,0.0,3409.5,0.531,2.0,87.0,0.5,479.58574097495386
810,8.43,5.128407411,2.687689729,9.7075,4695.878055734343,3.386276865,118.45495,57.0,0.72,1321.97,-1.944337313833,0.6,0.66,55.79088,11190.90110753883,0.6,0.99,18576.59925641001,0.75,0.0,772.1176,1.182,1.3166000000000002,10.0,0.4,232.5857605871967
811,8.43,5.128407411,2.687689729,9.7075,6213.6083033144005,3.386276865,176.11326666666665,57.0,0.72,1561.6266666666668,-2.3469708862500003,0.75,0.92,68.0861,13956.108468323277,0.75,0.7200000000000001,18583.972250169794,0.61,0.0,1645.8970000000002,1.4775,0.907125,8.6,0.25,232.5857605871967
812,2.89,3.5892684530000003,2.365120549,6.615,12442.568374368211,2.979865165,23.869666666666664,31.0,0.32,351.41,-2.980903043333333,0.3333333333333333,0.6833333333333333,23.869666666666664,12442.568374368211,0.6666666666666666,0.3400000000000001,18500.595924999376,1.4,0.0,626.8396333333333,2.6176666666666666,1.24,780.0,0.3333333333333333,601.5857312879351
813,2.89,3.5892684530000003,2.365120549,6.615,12434.29668638056,2.979865165,24.35633333333333,31.0,0.32,357.07666666666665,-3.0171392316666665,0.3333333333333333,0.7,24.35633333333333,12434.29668638056,0.6666666666666666,0.2100000000000002,18525.410988962325,1.4,0.0,511.1729666666667,2.6176666666666666,1.1766666666666667,91.0,0.3333333333333333,601.5857312879351
814,2.89,3.5892684530000003,2.365120549,6.615,12428.698990659926,2.979865165,26.923,31.0,0.32,380.7433333333333,-3.061874127776667,0.3333333333333333,0.7166666666666667,26.923,12428.698990659926,0.6666666666666666,0.1400000000000001,18542.204076124224,1.4,0.0,285.8396333333333,2.6176666666666666,1.1333333333333333,82.0,0.3333333333333333,369.5857497091512
815,7.33,4.894871769,2.630893787,9.105,4673.355210118396,3.314718462,249.452725,66.0,0.73,2429.275,-4.6674710625000015,0.6,0.91,115.50654,11171.937595459529,0.6,0.8899999999999999,18577.486832259787,0.53,0.0,2858.3574,0.0,1.1740000000000002,6.2,0.4,369.5857497091512
816,2.89,3.5892684530000003,2.365120549,6.615,9367.753978307614,2.979865165,34.09905,31.0,0.32,482.065,-2.0929586125,0.0,1.025,34.09905,9367.753978307614,0.5,0.2,18500.595924999376,1.54,0.0,939.54495,3.9265,1.495,0.0,0.5,244.5857596343752
817,2.89,3.5892684530000003,2.365120549,6.615,6240.355450428349,2.979865165,29.11936666666667,31.0,0.32,589.95,-2.84201573236,0.0,0.7166666666666667,29.11936666666667,6240.355450428349,0.6666666666666666,1.25,18590.885395012632,0.29,0.0,938.6966333333336,3.3516666666666666,1.3133333333333337,70.0,0.3333333333333333,244.5857596343752
818,7.33,4.894871769,2.630893787,9.105,9328.403307864412,3.314718462,21.470175,57.0,0.72,463.425,-3.25443930225,0.6000000000000001,0.15,17.858320000000003,11181.162079589409,0.8,1.32,18574.442021533927,0.29,0.0,699.3108,0.8344,1.186,70.0,0.2,238.58576011078603
819,20.54,6.9009170520000005,3.593145393,23.195,6152.742998880438,4.527079516000001,222.81333333333333,102.0,0.99,1954.986666666667,-2.329090445,0.0,0.6533333333333333,87.46444444444445,12240.357800030028,0.6666666666666666,0.97,18294.24109429501,0.84,0.0,1143.1426666666666,1.662,1.4311111111111108,5.7,0.3333333333333333,238.58576011078603
820,11.08,5.617631503999999,2.807970487,11.07,19.215786960933045,3.537821124,190.025,105.0,1.02,2047.68,-3.700776996875,0.0,1.04,136.325,21.274090894955712,0.5,0.45,15.336603862771303,0.29,0.0,4767.875,1.148875,1.29225,5.7,0.375,496.5857396251232
821,25.23,7.39058945,3.892116444,29.48,62.31687546474237,4.9037594360000005,124.27833333333334,120.0,1.14,1383.666666666667,-1.6853835594444444,0.0,0.5966666666666667,57.13333333333333,57.4495298692604,0.6666666666666666,1.25,90.4892305458594,0.71,0.0,3309.777777777778,0.9713333333333334,1.5333333333333332,22.0,0.3333333333333333,496.5857396251232
822,2.89,3.5892684530000003,2.365120549,6.615,9328.577773449106,2.979865165,23.292250000000006,31.0,0.32,423.9325,-3.779035682638333,0.3333333333333333,0.95,16.173000000000002,12420.76003351552,0.8333333333333333,1.37,18589.837818990654,0.17,0.1666666666666666,447.0063,2.8885,0.955,82.0,0.1666666666666666,684.5857246975862
823,2.89,3.5892684530000003,2.365120549,6.615,13892.673333040844,2.979865165,42.18475,31.0,0.32,526.5475,-2.9552114975,0.25,0.6025,42.18475,13892.673333040844,0.75,0.81,18575.114753504837,1.0,0.0,388.683225,2.5865,1.0025,780.0,0.25,684.5857246975862
